Switching PV collection for PF2PAT: cms.InputTag("offlineSlimmedPrimaryVertices")
***********************************
Renaming 'updatedPatJetsTransientCorrectedSlimmedJetsPuppiNewDFTraining' to 'jetsAk4Puppi'
Renaming 'updatedPatJetsTransientCorrectedSlimmedJetsNewDFTraining' to 'jetsAk4CHS'
20-Mar-2019 15:08:17 CET  Initiating request to open file dcap://dcache-cms-dcap.desy.de//pnfs/desy.de/cms/tier2/store/mc/RunIIAutumn18MiniAOD/TTToHadronic_TuneCP5_13TeV-powheg-pythia8/MINIAODSIM/102X_upgrade2018_realistic_v15-v1/100000/2A6B8F74-04C7-1B46-A56E-8C786D0C2E84.root
20-Mar-2019 15:08:18 CET  Successfully opened file dcap://dcache-cms-dcap.desy.de//pnfs/desy.de/cms/tier2/store/mc/RunIIAutumn18MiniAOD/TTToHadronic_TuneCP5_13TeV-powheg-pythia8/MINIAODSIM/102X_upgrade2018_realistic_v15-v1/100000/2A6B8F74-04C7-1B46-A56E-8C786D0C2E84.root
Begin processing the 1st record. Run 1, Event 107632007, LumiSection 13455 on stream 0 at 20-Mar-2019 15:08:37.824 CET
#------------------------------------------------------------------------------
#                                 HOTVR 1.0.0                                  
#                      T. Lapsien, R. Kogler, J. Haller                        
#                                arXiv:1606.04961                              
#                                                                              
# The Heavy Object Tagger with Variable R.                                     
#                                                                              
# If you use this package, please cite the following papers:                   
#                                                                              
# - Tobias Lapsien, Roman Kogler, Johannes Haller,                             
#   "A new tagger for hadronically decaying heavy particles at the LHC",     
#   arXiv:1606.04961                                                           
#                                                                              
# - David Krohn, Jesse Thaler, Lian-Tao Wang, "Jets with Variable R",        
#   JHEP 06, 059 (2009) [arXiv:0903.0392 [hep-ph]]                             
#                                                                              
# - Martin Stoll, "Vetoed jet clustering: The mass-jump algorithm",          
#   JHEP 04, 111 (2015) [arXiv:1410.4637 [hep-ph]]                             
#                                                                              
# The HOTVR algorithm is provided without warranty under the terms of the      
# GNU GPLv2. See COPYING file for details.                                     
#------------------------------------------------------------------------------
%MSG-w MemoryCheck:  PostModuleEvent 20-Mar-2019 15:08:47 CET  Run: 1 Event: 107632005
MemoryCheck: event : VSIZE 1729.31 0 RSS 1165.36 0
%MSG
%MSG-w MemoryCheck:  PostModuleEvent 20-Mar-2019 15:08:47 CET  Run: 1 Event: 107632001
MemoryCheck: event : VSIZE 1729.31 0 RSS 1165.39 0
%MSG
%MSG-w MemoryCheck:  PostModuleEvent 20-Mar-2019 15:08:48 CET  Run: 1 Event: 107632006
MemoryCheck: event : VSIZE 1729.31 0 RSS 1165.41 0
%MSG
%MSG-w MemoryCheck:  PostModuleEvent 20-Mar-2019 15:08:48 CET  Run: 1 Event: 107632004
MemoryCheck: event : VSIZE 1729.31 0 RSS 1165.41 0
%MSG
%MSG-w MemoryCheck:  PostModuleEvent 20-Mar-2019 15:08:48 CET  Run: 1 Event: 107632009
MemoryCheck: event : VSIZE 1729.31 0 RSS 1165.06 0
%MSG
%MSG-w MemoryCheck:  PostModuleEvent 20-Mar-2019 15:08:48 CET  Run: 1 Event: 107632015
MemoryCheck: event : VSIZE 1729.31 0 RSS 1164.76 0
%MSG
%MSG-w MemoryCheck:  PostModuleEvent 20-Mar-2019 15:08:49 CET  Run: 1 Event: 107632002
MemoryCheck: event : VSIZE 1729.31 0 RSS 1164.32 0
%MSG
%MSG-w MemoryCheck:  PostModuleEvent 20-Mar-2019 15:08:49 CET  Run: 1 Event: 107632014
MemoryCheck: event : VSIZE 1729.31 0 RSS 1163.2 0
%MSG
%MSG-w MemoryCheck:  PostModuleEvent 20-Mar-2019 15:08:49 CET  Run: 1 Event: 107632008
MemoryCheck: event : VSIZE 1729.31 0 RSS 1161.8 0
%MSG
%MSG-w MemoryCheck:  PostModuleEvent 20-Mar-2019 15:08:50 CET  Run: 1 Event: 107632016
MemoryCheck: event : VSIZE 1729.31 0 RSS 1160.95 0
%MSG
%MSG-w MemoryCheck:  PostModuleEvent 20-Mar-2019 15:08:50 CET  Run: 1 Event: 107632010
MemoryCheck: event : VSIZE 1729.31 0 RSS 1164.19 0
%MSG
%MSG-w MemoryCheck:  PostModuleEvent 20-Mar-2019 15:08:51 CET  Run: 1 Event: 107632012
MemoryCheck: event : VSIZE 1729.31 0 RSS 1160.57 0
%MSG
%MSG-w MemoryCheck:  PostModuleEvent 20-Mar-2019 15:08:51 CET  Run: 1 Event: 107632003
MemoryCheck: event : VSIZE 1729.31 0 RSS 1164.15 0
%MSG
%MSG-w MemoryCheck:  PostModuleEvent 20-Mar-2019 15:08:51 CET  Run: 1 Event: 107632024
MemoryCheck: event : VSIZE 1729.31 0 RSS 1160.7 0
%MSG
%MSG-w MemoryCheck:  PostModuleEvent 20-Mar-2019 15:08:52 CET  Run: 1 Event: 107632013
MemoryCheck: event : VSIZE 1729.31 0 RSS 1163.55 0
